sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,22,,良好,0.7,0.28,23.3,17.2,5,1,13,17.5,4.4,1.8,252,"2023/08/16 14:00:00",0.2,5.5,13,0,121.760056,25.129167,1
汐止,新北市,43,,良好,1.1,0.36,15.2,9.6,14,9,23.6,30.6,7,0.9,232,"2023/08/16 14:00:00",0.3,13.3,16,1,121.64081,25.06624,2
萬里,新北市,22,,良好,1.4,0.17,24.5,21.6,17,6,4.2,6,1.8,4.9,245,"2023/08/16 14:00:00",0.1,6.7,15,1,121.689881,25.179667,3
新店,新北市,23,,良好,0.8,0.27,30,19,7,5,10.1,13,2.8,1,356,"2023/08/16 14:00:00",0.2,7.2,13,0,121.537778,24.977222,4
土城,新北市,33,,良好,1.2,0.28,14.1,13.5,17,10,20.6,27.1,6.4,1.2,278,"2023/08/16 14:00:00",0.2,7.4,16,1,121.451861,24.982528,5
板橋,新北市,30,,良好,0.7,0.33,17.7,14.1,8,4,18.8,23.6,4.7,1.7,249,"2023/08/16 14:00:00",0.3,7,10,0,121.458667,25.012972,6
新莊,新北市,40,,良好,0.4,0.35,15.1,14.9,15,8,24.1,29.7,5.5,1,267,"2023/08/16 14:00:00",0.2,9.7,12,0,121.4325,25.037972,7
菜寮,新北市,43,,良好,1.2,0.49,14.4,13.5,14,13,26.2,33.3,7.1,1.4,293,"2023/08/16 14:00:00",0.4,9,13,1,121.481028,25.06895,8
林口,新北市,37,,良好,0.7,0.28,11.7,16.9,16,11,22,31.6,9.6,3.3,227,"2023/08/16 14:00:00",0.1,7.2,12,0,121.36548982,25.07798949,9
淡水,新北市,32,,良好,1,0.33,19.2,23,14,7,19,25.4,6.3,,,"2023/08/16 14:00:00",0.2,5,14,1,121.449239,25.1645,10
士林,臺北市,43,,良好,0.1,0.37,10.5,15.2,12,6,26.4,35.7,9.3,1.5,352,"2023/08/16 14:00:00",0.2,7.8,12,0,121.51666356,25.10334003,11
中山,臺北市,47,,良好,0.9,0.67,13.6,11.5,12,11,28.5,41.8,13.3,0.7,359,"2023/08/16 14:00:00",0.5,8.4,16,1,121.526528,25.062361,12
萬華,臺北市,42,,良好,0.6,0.52,17.1,13.6,8,10,25.8,31.8,6,0.8,326,"2023/08/16 14:00:00",0.4,9.6,12,0,121.507972,25.046503,13
古亭,臺北市,28,,良好,0.5,0.36,22.1,16.6,7,7,16.7,20.8,4.1,0.8,319,"2023/08/16 14:00:00",0.3,8.7,10,0,121.529556,25.020608,14
松山,臺北市,48,,良好,0.3,0.45,8.4,7.3,4,5,29.4,40.2,10.7,0.3,314,"2023/08/16 14:00:00",0.3,7.8,9,0,121.578611,25.05,15
大同,臺北市,55,二氧化氮,普通,1.3,1.29,7.4,6.7,13,12,37.3,64.6,27.2,-,-,"2023/08/16 14:00:00",1.1,12.5,16,1,121.51342074,25.06331455,16
桃園,桃園市,32,,良好,0,0.34,,14.2,13,9,19.7,23.7,3.9,1.4,201,"2023/08/16 14:00:00",0.2,9.5,16,0,121.30500531,24.9947107,17
